,brand,model_year,accident,price_usd,mileage_num,has_clean_title,is_sport,is_premium,is_4WD_AWD,engine_hp,engine_displacement,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,transmission_type_CVT,transmission_type_Manual,transmission_type_a/t,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gray,int_col_Orange,int_col_Red,int_col_White,int_col_nan,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gray,ext_col_Orange,ext_col_Red,ext_col_White,ext_col_nan
500,0.23002379484919988,0.38,0.0,0.24408516340412456,0.5171647320326006,1.0,0.0,0.0,0.0,0.4057416267942584,0.5949367088607596,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3493,0.14276507668590988,0.28,0.0,0.2537288351985627,0.3578661397876019,1.0,0.0,0.0,0.0,0.38468899521531097,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3501,0.030147685418181247,0.28,1.0,0.18532099219144937,0.3146455915040751,1.0,0.0,0.0,0.0,0.45167464114832534,0.4810126582278481,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0.3324683654925318,0.12,0.0,0.5547958977522567,0.09829587552482096,1.0,0.0,0.0,0.0,0.9186602870813396,0.6329113924050633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
557,0.3103723043425406,0.13999999999999999,1.0,0.29507146699631837,0.1664163991108916,1.0,0.0,0.0,0.0,0.2258373205741627,0.25316455696202533,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1874,0.5395742319036057,0.07999999999999999,0.0,0.6059880935126929,0.056665843418127936,0.0,0.0,0.0,0.0,0.5454545454545454,0.379746835443038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
602,0.5100271724848939,0.1,0.0,0.7106612744922975,0.023215608792294392,1.0,0.0,0.0,0.0,1.0,0.5063291139240507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
442,0.4233338602985377,0.24000000000000002,0.0,0.3508062079617711,0.2541368239071376,1.0,0.0,0.0,1.0,0.6449760765550239,0.5569620253164558,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787,0.40502265819802474,0.12,0.0,0.5709924594001856,0.036935045690293905,1.0,1.0,0.0,0.0,0.662200956937799,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,0.5100271724848939,0.4,0.0,0.37849164220991405,0.11336132378365028,1.0,0.0,0.0,0.0,0.44401913875598087,0.6329113924050633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2114,0.4135095239091955,0.24000000000000002,0.0,0.27973717543441046,0.30847122746357125,1.0,0.0,1.0,0.0,0.26985645933014357,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2851,0.13640274193545476,0.16,0.0,0.3797843838209982,0.3263818226722648,0.0,0.0,0.0,0.0,0.4,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3332,0.5815733382937553,0.07999999999999999,1.0,0.513242904389966,0.15750802667325267,1.0,0.0,0.0,0.0,0.6220095693779905,0.7215189873417722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
979,0.9861042178960204,0.1,0.0,0.9758645292402945,0.016865892813040257,1.0,0.0,0.0,0.0,1.0,0.8227848101265823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3825,0.2417694846169427,0.19999999999999998,1.0,0.2994311810061372,0.26154606075574216,1.0,0.0,0.0,0.0,0.12248803827751195,0.2278481012658228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1449,0.11345943015181437,0.12,1.0,0.48527484219223216,0.17979748085947148,1.0,0.0,0.0,0.0,0.45167464114832534,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2562,0.42688878112885575,0.12,1.0,0.4294491494409829,0.08989874042973574,1.0,0.0,1.0,0.0,0.2870813397129187,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3391,0.42688878112885575,0.060000000000000005,0.0,0.6146012439856912,0.10653988639170166,1.0,0.0,1.0,0.0,0.8229665071770335,0.5063291139240507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
