mileage_num,has_clean_title,hp,displacement_l,cylinders,is_turbo,is_electric,num_speeds,car_age,accident_flag,brand_freq,model_freq,fuel_type_clean_Flex,fuel_type_clean_Gasoline,fuel_type_clean_Hybrid,fuel_type_clean_PluginHybrid,transmission_type_cvt,transmission_type_manual,transmission_type_other
0.15285562560355856,1,-0.16576808382983935,-0.12475303745875882,-0.123360369239446,1,0,-0.7047138001423664,-0.4060711141102957,1,1.5154096243815247,-0.22016003638098877,0,1,0,0,0,0,0
-1.0502881097329093,1,0.23308995822738013,1.1872196049959516,1.1286203036756266,0,0,2.301939881477698,-1.2347771098917915,0,-0.7997223943626863,-0.7306252329718111,0,1,0,0,0,0,0
-0.1866892434327951,1,0.8676368433184111,-0.4891898825850673,-0.123360369239446,0,0,-0.7047138001423664,-0.07458871579769735,0,1.5154096243815247,4.884491929527234,0,1,0,0,0,1,0
0.23395036341318493,1,-0.21109286133634156,-0.12475303745875882,-0.123360369239446,0,0,-0.7047138001423664,-0.2403299149539965,0,-0.17716588512054549,0.29030516020983343,0,1,0,0,0,0,0
-0.5977905371983675,1,-1.5345763645262063,-1.2180635728376843,-1.3753410421545185,0,0,0.04694962026264967,-0.4060711141102957,1,1.5154096243815247,0.29030516020983343,1,0,0,0,0,0,0
0.572942010290875,1,-1.344212298998897,-1.509613048938731,-1.3753410421545185,0,0,-0.7047138001423664,-0.07458871579769735,0,-1.247184885380475,0.29030516020983343,0,1,0,0,0,0,0
-0.29161068731727996,1,0.6772727777911018,-0.4891898825850673,-0.123360369239446,0,0,0.04694962026264967,-0.2403299149539965,0,-1.247184885380475,0.5455377585052448,0,1,0,0,0,0,1
-1.1357513949333624,1,0.6410129557859,-0.12475303745875882,-0.123360369239446,0,0,2.301939881477698,-1.2347771098917915,0,1.5154096243815247,-0.7306252329718111,0,1,0,0,0,0,0
-0.7488964930181864,0,-0.16576808382983935,-0.12475303745875882,-0.123360369239446,0,0,1.5502764610726818,-0.5718123132665948,1,-0.9748164125870384,-0.4753926346764,0,1,0,0,0,0,0
-0.8974080276801345,1,-0.16576808382983935,-0.4891898825850673,-0.123360369239446,1,0,1.5502764610726818,-0.9032947115791932,0,1.0582196879068275,-0.22016003638098877,0,1,0,0,0,0,0
0.24823875640763568,1,-0.26548259434414423,0.3854585457180732,1.1286203036756266,0,0,-0.7047138001423664,1.5828232757652942,0,-1.1304555398975735,-0.4753926346764,0,1,0,0,0,0,0
-0.5977905371983675,1,-0.16576808382983935,-0.12475303745875882,-0.123360369239446,0,0,-0.7047138001423664,0.5883760808274993,0,-0.8094498398195947,-0.7306252329718111,0,1,0,0,0,1,0
0.17099749708249404,1,-0.4921064818766553,-1.2180635728376843,-1.3753410421545185,0,0,0.04694962026264967,-0.2403299149539965,0,0.7469414332857571,0.29030516020983343,0,1,0,0,0,0,0
0.38084038485146365,0,-0.26548259434414423,-0.05186566843349706,-0.123360369239446,0,0,0.04694962026264967,0.7541172799837984,0,0.027110469474531843,-0.7306252329718111,0,1,0,0,0,0,0
2.7558803418729836,1,-0.4286517933675522,0.7498953908443816,1.1286203036756266,0,0,-1.4563772205473824,1.7485644749215934,0,-0.07016398509455267,-0.7306252329718111,0,1,0,0,0,0,0
